[2/8/18 12:14PM]	Login from host 173.239.199.234	
[2/8/18 12:25PM]	Ace used command ::id blowpipe | Player rights = DEVELOPER	
[2/8/18 01:37PM]	Ace used command ::master | Player rights = DEVELOPER	
[2/8/18 01:38PM]	Ace used command ::item 6570 1 | Player rights = DEVELOPER	
[2/8/18 01:38PM]	Ace used command ::item 6570 1 | Player rights = DEVELOPER	
[2/9/18 04:23PM]	Ace used command ::verify ace | Player rights = DEVELOPER	
[2/9/18 04:23PM]	Ace used command ::whverootz | Player rights = DEVELOPER	
[2/9/18 04:24PM]	Ace used command ::::verify llootz | Player rights = DEVELOPER	
[2/9/18 04:25PM]	Ace used command ::verify lootz | Player rights = DEVELOPER	
[2/9/18 04:25PM]	Ace used command ::teletome lootz | Player rights = DEVELOPER	
[2/9/18 04:30PM]	Ace used command ::saveall | Player rights = DEVELOPER	
[2/9/18 04:32PM]	Ace used command ::givemanager5 lootz | Player rights = DEVELOPER	
[2/9/18 04:33PM]	Ace used command ::givemanager lootz | Player rights = DEVELOPER	
[2/9/18 04:36PM]	Ace used command ::givemanager5 lootz | Player rights = DEVELOPER	
[2/9/18 04:37PM]	Ace used command ::givemanager5 lootz | Player rights = DEVELOPER	
[2/9/18 04:38PM]	Ace used command ::giveadmin5 lootz | Player rights = DEVELOPER	
[2/9/18 04:38PM]	Ace used command ::givemanager5 lootz | Player rights = DEVELOPER	
[2/9/18 04:39PM]	Ace used command ::saveall | Player rights = DEVELOPER	
[2/9/18 04:48PM]	Ace used command ::teleto lootz | Player rights = DEVELOPER	
[2/9/18 04:50PM]	Ace used command ::copy lootz | Player rights = DEVELOPER	
[2/9/18 04:58PM]	Receiving item from trade. Id: 16887, amount: 1 from: Lootz	
[2/9/18 04:58PM]	Receiving item from trade. Id: 16477, amount: 500 from: Lootz	
[2/9/18 04:58PM]	Receiving item from trade. Id: 16337, amount: 1 from: Lootz	
[2/9/18 04:58PM]	Receiving item from trade. Id: 11212, amount: 997 from: Lootz	
[2/9/18 05:01PM]	Ace used command ::title | Player rights = DEVELOPER	
[2/9/18 05:03PM]	Ace used command ::id twisted | Player rights = DEVELOPER	
[2/9/18 05:03PM]	Ace used command ::id | Player rights = DEVELOPER	
[2/9/18 05:03PM]	Ace used command ::id twisted | Player rights = DEVELOPER	
[2/9/18 05:04PM]	Ace used command ::verify dan | Player rights = DEVELOPER	
[2/9/18 05:04PM]	Ace used command ::id twisted bow | Player rights = DEVELOPER	
[2/9/18 05:05PM]	Ace used command ::teletome dan | Player rights = DEVELOPER	
[2/9/18 05:06PM]	Ace used command ::id twisted | Player rights = DEVELOPER	
[2/9/18 05:06PM]	Ace used command ::id twisted | Player rights = DEVELOPER	
[2/9/18 05:07PM]	Ace used command ::teletome dan | Player rights = DEVELOPER	
[2/9/18 05:07PM]	Ace used command ::teletome dan | Player rights = DEVELOPER	
[2/9/18 05:09PM]	Ace used command ::id law rune | Player rights = DEVELOPER	
[2/9/18 05:09PM]	Ace used command ::id chaos rune | Player rights = DEVELOPER	
[2/9/18 05:09PM]	Ace used command ::id death rune | Player rights = DEVELOPER	
[2/9/18 05:09PM]	Ace used command ::item 560 2000 | Player rights = DEVELOPER	
[2/9/18 05:09PM]	Ace used command ::item 562 20000 | Player rights = DEVELOPER	
[2/9/18 05:09PM]	Ace used command ::item 563 2000 | Player rights = DEVELOPER	
[2/9/18 05:11PM]	Ace used command ::setlevel 3 9999 | Player rights = DEVELOPER	
[2/9/18 05:11PM]	Ace used command ::setlevel 4 999 | Player rights = DEVELOPER	
[2/9/18 05:11PM]	Ace used command ::setlevel 4 15000 | Player rights = DEVELOPER	
[2/9/18 05:11PM]	Ace used command ::home | Player rights = DEVELOPER	
[2/9/18 05:12PM]	Ace used command ::npc 550 | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::pos | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::getpos | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::getcords | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::cords | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::cords | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::getcords | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::pos | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::getpos | Player rights = DEVELOPER	
[2/9/18 05:13PM]	Ace used command ::coords | Player rights = DEVELOPER	
[2/9/18 05:22PM]	Ace used command ::givepoints 215322 | Player rights = DEVELOPER	
[2/9/18 05:22PM]	Ace used command ::givedpoints1 321515 | Player rights = DEVELOPER	
[2/9/18 05:22PM]	Ace used command ::donamount 321555 | Player rights = DEVELOPER	
[2/9/18 05:23PM]	Ace used command ::donamount 3215111 ace | Player rights = DEVELOPER	
[2/9/18 05:24PM]	Ace used command ::donamount ace 3215151 | Player rights = DEVELOPER	
[2/9/18 05:24PM]	Ace used command ::donamount 321 | Player rights = DEVELOPER	
[2/9/18 05:24PM]	Ace used command ::givedpoints 32155 | Player rights = DEVELOPER	
[2/9/18 05:24PM]	Ace used command ::givedonpoints 32155 | Player rights = DEVELOPER	
[2/9/18 05:27PM]	Ace used command ::jog69 | Player rights = DEVELOPER	
[2/9/18 05:27PM]	Ace used command ::mma | Player rights = DEVELOPER	
[2/9/18 05:28PM]	Ace used command ::givedonpoints1 | Player rights = DEVELOPER	
[2/9/18 05:28PM]	Ace used command ::givedonpoints1 ace 32155 | Player rights = DEVELOPER	
[2/9/18 05:28PM]	Ace used command ::givedonpoints1 3215 | Player rights = DEVELOPER	
[2/9/18 05:28PM]	Ace used command ::dice | Player rights = DEVELOPER	
[2/9/18 05:28PM]	Ace used command ::gamble | Player rights = DEVELOPER	
[2/9/18 05:29PM]	Ace used command ::givedonpoints1 lootz 5000 | Player rights = DEVELOPER	
[2/9/18 05:33PM]	Ace used command ::givedonpoints1 2000 | Player rights = DEVELOPER	
