[2/12/18 04:50PM]	Login from host 64.121.45.108	
[2/12/18 05:10PM]	Andy used command ::[FRI]Daking | Player rights = PLAYER	
[2/12/18 05:10PM]	Andy used command ::yell we heard you.. | Player rights = PLAYER	
[2/12/18 05:12PM]	Login from host 64.121.45.108	
[2/12/18 05:22PM]	Andy used command ::home | Player rights = PLAYER	
[2/12/18 05:27PM]	Andy used command ::home | Player rights = PLAYER	
[2/12/18 05:27PM]	Player bought 861 x 1 from shop	
[2/12/18 05:27PM]	Player bought 9185 x 1 from shop	
[2/12/18 05:28PM]	Player bought 884 x 5000 from shop	
[2/12/18 05:28PM]	Player bought 9244 x 500 from shop	
[2/12/18 05:28PM]	Player bought 2503 x 1 from shop	
[2/12/18 05:28PM]	Player bought 2497 x 1 from shop	
[2/12/18 05:28PM]	Player bought 2491 x 1 from shop	
[2/12/18 05:28PM]	Player bought 6328 x 1 from shop	
[2/12/18 05:28PM]	Player bought 10499 x 1 from shop	
[2/12/18 05:28PM]	Player bought 10499 x 1 from shop	
[2/12/18 05:28PM]	Player bought 3749 x 1 from shop	
[2/12/18 05:29PM]	Player bought 1704 x 1 from shop	
[2/12/18 05:30PM]	Player bought 392 x 500 from shop	
[2/12/18 05:31PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:32PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:32PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:33PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:33PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:33PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:33PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:34PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:34PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:35PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:35PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:35PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:36PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/12/18 05:36PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
