[2/9/18 08:49PM]	Login from host 125.168.0.163	
[2/9/18 08:50PM]	Mrblank used command ::bank | Player rights = DIAMOND_MEMBER	
[2/9/18 08:50PM]	Mrblank used command ::bank | Player rights = DIAMOND_MEMBER	
[2/9/18 08:51PM]	Mrblank used command ::bank | Player rights = DIAMOND_MEMBER	
[2/9/18 08:52PM]	Mrblank used command ::train | Player rights = DIAMOND_MEMBER	
[2/9/18 08:54PM]	Mrblank used command ::bank | Player rights = DIAMOND_MEMBER	
[2/9/18 08:58PM]	Player picking up item: [ItemDefinition(830)] - Name: Rune javelin; equipment slot: 3; value: 198; stackable ? true; noted ? false; 2h ? false amount: 2	
[2/9/18 08:58PM]	Player picking up item: [ItemDefinition(830)] - Name: Rune javelin; equipment slot: 3; value: 198; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/9/18 08:59PM]	Mrblank used command ::home | Player rights = DIAMOND_MEMBER	
[2/9/18 09:00PM]	Mrblank used command ::train | Player rights = DIAMOND_MEMBER	
[2/9/18 09:01PM]	Mrblank used command ::title | Player rights = DIAMOND_MEMBER	
[2/9/18 09:30PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 1000000	
[2/9/18 09:36PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 1000000	
[2/9/18 09:51PM]	Mrblank used command ::home | Player rights = DIAMOND_MEMBER	
[2/9/18 09:54PM]	Mrblank used command ::home 2 | Player rights = DIAMOND_MEMBER	
[2/9/18 09:54PM]	Mrblank used command ::home2 | Player rights = DIAMOND_MEMBER	
[2/9/18 09:54PM]	Receiving item from trade. Id: 12926, amount: 1 from: Lootz	
[2/9/18 09:56PM]	Receiving item from trade. Id: 12926, amount: 1 from: Lootz	
[2/9/18 10:03PM]	Mrblank used command ::bank | Player rights = DIAMOND_MEMBER	
[2/9/18 10:03PM]	Mrblank used command ::di | Player rights = DIAMOND_MEMBER	
[2/9/18 10:03PM]	Mrblank used command ::bank | Player rights = DIAMOND_MEMBER	
[2/9/18 10:04PM]	Mrblank used command ::train | Player rights = DIAMOND_MEMBER	
[2/9/18 10:05PM]	Mrblank used command ::home | Player rights = DIAMOND_MEMBER	
[2/9/18 10:06PM]	Mrblank used command ::bank | Player rights = DIAMOND_MEMBER	
[2/9/18 10:06PM]	Player picking up item: [ItemDefinition(12926)] - Name: Toxic blowpipe; equipment slot: 3; value: 10000000; stackable ? false; noted ? false; 2h ? true amount: 1	
