[3/5/18 09:18AM]	Login from host 2.217.137.29	
[3/5/18 09:21AM]	Player bought 892 x 1000 from shop	
[3/5/18 09:21AM]	Player bought 11212 x 100 from shop	
[3/5/18 09:21AM]	Player bought 868 x 300 from shop	
[3/5/18 09:23AM]	Player picking up item: [ItemDefinition(985)] - Name: Tooth half of a key; equipment slot: 3; value: 26200; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:35AM]	Player bought 2503 x 1 from shop	
[3/5/18 09:35AM]	Player bought 2497 x 1 from shop	
[3/5/18 09:35AM]	Player bought 2491 x 1 from shop	
[3/5/18 09:35AM]	Player bought 3749 x 1 from shop	
[3/5/18 09:35AM]	Player bought 6328 x 1 from shop	
[3/5/18 09:35AM]	Player bought 10499 x 1 from shop	
[3/5/18 09:35AM]	Player bought 9185 x 1 from shop	
[3/5/18 09:35AM]	Player bought 9144 x 300 from shop	
[3/5/18 09:39AM]	Player bought 9185 x 1 from shop	
[3/5/18 09:39AM]	Player bought 9144 x 300 from shop	
[3/5/18 09:41AM]	Player bought 9144 x 300 from shop	
[3/5/18 09:41AM]	Player bought 868 x 300 from shop	
[3/5/18 09:44AM]	Player picking up item: [ItemDefinition(2677)] - Name: Clue scroll (easy); equipment slot: 3; value: 1000000; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:45AM]	Sniper1875 used command ::highscores | Player rights = PLAYER	
[3/5/18 09:48AM]	Sniper1875 used command ::check | Player rights = PLAYER	
[3/5/18 09:49AM]	Player picking up item: [ItemDefinition(7956)] - Name: Casket; equipment slot: 3; value: 56841; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 1085	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 09:54AM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/5/18 10:03AM]	Player bought 4587 x 1 from shop	
[3/5/18 10:03AM]	Player bought 1333 x 1 from shop	
[3/5/18 10:03AM]	Player bought 5680 x 1 from shop	
[3/5/18 10:03AM]	Player bought 1163 x 1 from shop	
[3/5/18 10:03AM]	Player bought 1127 x 1 from shop	
[3/5/18 10:03AM]	Player bought 1079 x 1 from shop	
[3/5/18 10:03AM]	Player bought 1201 x 1 from shop	
[3/5/18 10:03AM]	Player bought 4131 x 1 from shop	
