[3/7/18 03:47PM]	Login from host 175.36.234.114	
[3/7/18 03:49PM]	Soniq Pker used command ::gz | Player rights = GOLD_MEMBER	
[3/7/18 03:54PM]	Player picking up item: [ItemDefinition(2443)] - Name: Super defence (4); equipment slot: 3; value: 6000; stackable ? true; noted ? true; 2h ? false amount: 3	
[3/7/18 03:54PM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/7/18 03:54PM]	Player picking up item: [ItemDefinition(560)] - Name: Death rune; equipment slot: 3; value: 229; stackable ? true; noted ? false; 2h ? false amount: 12	
[3/7/18 03:54PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 03:55PM]	Soniq Pker used command ::empty | Player rights = GOLD_MEMBER	
[3/7/18 03:55PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 03:56PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 03:57PM]	Soniq Pker used command ::empty | Player rights = GOLD_MEMBER	
[3/7/18 03:58PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 03:58PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 04:01PM]	Player picking up item: [ItemDefinition(3751)] - Name: Berserker helm; equipment slot: 0; value: 58000; stackable ? false; noted ? false; 2h ? false amount: 3	
[3/7/18 04:06PM]	Player dropping item: 229, amount: 1	
[3/7/18 04:06PM]	Player dropping item: 229, amount: 1	
[3/7/18 04:06PM]	Player picking up item: [ItemDefinition(985)] - Name: Tooth half of a key; equipment slot: 3; value: 26200; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/7/18 04:06PM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/7/18 04:06PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 04:07PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 04:07PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 04:11PM]	Soniq Pker used command ::bank | Player rights = GOLD_MEMBER	
[3/7/18 04:11PM]	Player picking up item: [ItemDefinition(1165)] - Name: Black full helm; equipment slot: 0; value: 742; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/7/18 04:11PM]	Player picking up item: [ItemDefinition(7956)] - Name: Casket; equipment slot: 3; value: 56841; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/7/18 04:12PM]	Player picking up item: [ItemDefinition(536)] - Name: Dragon bones; equipment slot: 3; value: 87927; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/7/18 04:27PM]	Player picking up item: [ItemDefinition(3753)] - Name: Warrior helm; equipment slot: 0; value: 68700; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/7/18 04:30PM]	Soniq Pker used command ::gz | Player rights = GOLD_MEMBER	
[3/7/18 04:31PM]	Player picking up item: [ItemDefinition(1514)] - Name: Magic logs; equipment slot: 3; value: 0; stackable ? true; noted ? true; 2h ? false amount: 259	
