[2/22/18 02:52PM]	Login from host 173.216.248.250	
[2/22/18 02:53PM]	Player bought 10499 x 1 from shop	
[2/22/18 02:53PM]	Player bought 9185 x 1 from shop	
[2/22/18 02:54PM]	Player bought 9144 x 500 from shop	
[2/22/18 02:54PM]	Player bought 2497 x 1 from shop	
[2/22/18 02:54PM]	Player bought 2491 x 1 from shop	
[2/22/18 02:56PM]	Tyco used command ::home | Player rights = PLAYER	
[2/22/18 02:59PM]	Tyco used command ::forums | Player rights = PLAYER	
[2/22/18 03:02PM]	Tyco used command ::commands | Player rights = PLAYER	
[2/22/18 03:02PM]	Tyco used command ::forum | Player rights = PLAYER	
[2/22/18 03:02PM]	Tyco used command ::forums | Player rights = PLAYER	
[2/22/18 03:02PM]	Tyco used command ::staff | Player rights = PLAYER	
[2/22/18 03:02PM]	Tyco used command ::stafflist | Player rights = PLAYER	
[2/22/18 03:02PM]	Tyco used command ::players | Player rights = PLAYER	
[2/22/18 03:03PM]	Tyco used command ::[FRI]Z | Player rights = PLAYER	
[2/22/18 03:04PM]	Tyco used command ::answer 1 | Player rights = PLAYER	
[2/22/18 03:04PM]	Tyco used command ::answer 2 | Player rights = PLAYER	
[2/22/18 03:04PM]	Tyco used command ::answer 3 | Player rights = PLAYER	
[2/22/18 03:05PM]	Tyco used command ::answer 4 | Player rights = PLAYER	
[2/22/18 03:05PM]	Tyco used command ::anser 5 | Player rights = PLAYER	
[2/22/18 03:05PM]	Tyco used command ::answer 4 | Player rights = PLAYER	
[2/22/18 03:05PM]	Tyco used command ::answer 5 | Player rights = PLAYER	
[2/22/18 03:05PM]	Tyco used command ::answer 10 | Player rights = PLAYER	
[2/22/18 03:05PM]	Tyco used command ::answer 9 | Player rights = PLAYER	
[2/22/18 03:22PM]	Tyco used command ::answer ralph | Player rights = PLAYER	
[2/23/18 03:47PM]	Login from host 173.216.248.250	
[2/23/18 03:48PM]	Tyco used command ::players | Player rights = PLAYER	
[2/23/18 03:50PM]	Tyco used command ::[FRI]Ace | Player rights = PLAYER	
[2/23/18 03:51PM]	Tyco used command ::[FRI]Daking | Player rights = PLAYER	
[2/23/18 03:55PM]	Player bought 4155 x 1 from shop	
[2/23/18 03:56PM]	Player picking up item: [ItemDefinition(882)] - Name: Bronze arrow; equipment slot: 13; value: 17; stackable ? true; noted ? false; 2h ? false amount: 13	
[2/23/18 03:57PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 03:57PM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 03:57PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 03:58PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 03:58PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 03:59PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 03:59PM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 03:59PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:00PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:00PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:00PM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:01PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:01PM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:02PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:02PM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:02PM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:02PM]	Player picking up item: [ItemDefinition(12160)] - Name: Crimson charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:03PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:03PM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:04PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:04PM]	Player picking up item: [ItemDefinition(2485)] - Name: Grimy lantadyme; equipment slot: 3; value: 31224; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:04PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:04PM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:04PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:05PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:05PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:05PM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:06PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:06PM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[2/23/18 04:08PM]	Player picking up item: [ItemDefinition(526)] - Name: Bones; equipment slot: 3; value: 1157; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/23/18 04:09PM]	Tyco used command ::train | Player rights = PLAYER	
[2/23/18 04:11PM]	Tyco used command ::home | Player rights = PLAYER	
[2/23/18 04:12PM]	Tyco used command ::[FRI]Lootz | Player rights = PLAYER	
