[3/3/18 02:19AM]	Login from host 103.225.137.254	
[3/3/18 02:20AM]	Zennon used command ::answer 70 | Player rights = PLAYER	
[3/3/18 02:21AM]	Zennon used command ::[FRI]Supreme | Player rights = PLAYER	
[3/3/18 02:22AM]	Player bought 1704 x 1 from shop	
[3/3/18 02:24AM]	Player bought 11118 x 1 from shop	
[3/3/18 02:24AM]	Player bought 1704 x 1 from shop	
[3/3/18 02:24AM]	Player bought 4587 x 1 from shop	
[3/3/18 02:24AM]	Player bought 868 x 500 from shop	
[3/3/18 02:24AM]	Player bought 1540 x 1 from shop	
[3/3/18 02:24AM]	Player bought 542 x 1 from shop	
[3/3/18 02:24AM]	Player bought 544 x 1 from shop	
[3/3/18 02:26AM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:27AM]	Player picking up item: [ItemDefinition(985)] - Name: Tooth half of a key; equipment slot: 3; value: 26200; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:27AM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:28AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 234	
[3/3/18 02:28AM]	Player picking up item: [ItemDefinition(12160)] - Name: Crimson charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:28AM]	Player picking up item: [ItemDefinition(313)] - Name: Fishing bait; equipment slot: 3; value: 7; stackable ? true; noted ? false; 2h ? false amount: 9	
[3/3/18 02:28AM]	Player picking up item: [ItemDefinition(439)] - Name: Tin ore; equipment slot: 3; value: 0; stackable ? true; noted ? true; 2h ? false amount: 3	
[3/3/18 02:28AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 234	
[3/3/18 02:28AM]	Player picking up item: [ItemDefinition(407)] - Name: Oyster; equipment slot: 3; value: 114; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:29AM]	Zennon used command ::commands | Player rights = PLAYER	
[3/3/18 02:30AM]	Player bought 1127 x 1 from shop	
[3/3/18 02:30AM]	Player bought 1079 x 1 from shop	
[3/3/18 02:30AM]	Player bought 1163 x 1 from shop	
[3/3/18 02:30AM]	Player bought 3105 x 1 from shop	
[3/3/18 02:30AM]	Player bought 3751 x 1 from shop	
[3/3/18 02:30AM]	Player bought 13734 x 1 from shop	
[3/3/18 02:30AM]	Player bought 1127 x 1 from shop	
[3/3/18 02:30AM]	Player bought 1079 x 1 from shop	
[3/3/18 02:32AM]	Player picking up item: [ItemDefinition(1127)] - Name: Rune platebody; equipment slot: 4; value: 64000; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:32AM]	Player picking up item: [ItemDefinition(1079)] - Name: Rune platelegs; equipment slot: 7; value: 44000; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:32AM]	Player picking up item: [ItemDefinition(1163)] - Name: Rune full helm; equipment slot: 0; value: 40000; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:32AM]	Player picking up item: [ItemDefinition(8851)] - Name: Warrior guild token; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 40	
[3/3/18 02:34AM]	Zennon used command ::edge | Player rights = PLAYER	
[3/3/18 02:37AM]	Player picking up item: [ItemDefinition(12160)] - Name: Crimson charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:37AM]	Player picking up item: [ItemDefinition(536)] - Name: Dragon bones; equipment slot: 3; value: 87927; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:38AM]	Zennon used command ::answer 24 | Player rights = PLAYER	
[3/3/18 02:38AM]	Zennon used command ::answer 25 | Player rights = PLAYER	
[3/3/18 02:38AM]	Zennon used command ::answer 25 | Player rights = PLAYER	
[3/3/18 02:38AM]	Zennon used command ::answer 21 | Player rights = PLAYER	
[3/3/18 02:38AM]	Zennon used command ::answer 20 | Player rights = PLAYER	
[3/3/18 02:38AM]	Zennon used command ::answer 23 | Player rights = PLAYER	
[3/3/18 02:38AM]	Zennon used command ::answer 22 | Player rights = PLAYER	
[3/3/18 02:39AM]	Zennon used command ::answer 25 | Player rights = PLAYER	
[3/3/18 02:39AM]	Zennon used command ::answer24 | Player rights = PLAYER	
[3/3/18 02:39AM]	Player picking up item: [ItemDefinition(536)] - Name: Dragon bones; equipment slot: 3; value: 87927; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:39AM]	Player picking up item: [ItemDefinition(25)] - Name: Red vine worm; equipment slot: 3; value: 14200; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:39AM]	Player picking up item: [ItemDefinition(1355)] - Name: Mithril hatchet; equipment slot: 3; value: 450; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:39AM]	Player picking up item: [ItemDefinition(2684)] - Name: Clue scroll (easy); equipment slot: 3; value: 1000000; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:40AM]	Player picking up item: [ItemDefinition(536)] - Name: Dragon bones; equipment slot: 3; value: 87927; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:40AM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:41AM]	Player picking up item: [ItemDefinition(536)] - Name: Dragon bones; equipment slot: 3; value: 87927; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:41AM]	Player picking up item: [ItemDefinition(1353)] - Name: Steel hatchet; equipment slot: 3; value: 280; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:41AM]	Player picking up item: [ItemDefinition(1751)] - Name: Blue dragonhide; equipment slot: 3; value: 878; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:42AM]	Player picking up item: [ItemDefinition(536)] - Name: Dragon bones; equipment slot: 3; value: 87927; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:42AM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:42AM]	Player picking up item: [ItemDefinition(1751)] - Name: Blue dragonhide; equipment slot: 3; value: 878; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:42AM]	Player picking up item: [ItemDefinition(1249)] - Name: Dragon spear; equipment slot: 3; value: 38500; stackable ? false; noted ? false; 2h ? true amount: 1	
[3/3/18 02:43AM]	Player picking up item: [ItemDefinition(536)] - Name: Dragon bones; equipment slot: 3; value: 87927; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:43AM]	Player picking up item: [ItemDefinition(12160)] - Name: Crimson charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:43AM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:43AM]	Player picking up item: [ItemDefinition(536)] - Name: Dragon bones; equipment slot: 3; value: 87927; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/3/18 02:43AM]	Player picking up item: [ItemDefinition(12158)] - Name: Gold charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/3/18 02:45AM]	Player bought 3025 x 10 from shop	
