[2/11/18 12:57PM]	Login from host 96.36.148.156	
[2/11/18 01:01PM]	Player bought 14490 x 1 from shop	
[2/11/18 01:01PM]	Player bought 14494 x 1 from shop	
[2/11/18 01:01PM]	Player bought 14492 x 1 from shop	
[2/11/18 01:04PM]	Player bought 4587 x 1 from shop	
[2/11/18 01:04PM]	Player bought 1704 x 1 from shop	
[2/11/18 01:04PM]	Player bought 3842 x 1 from shop	
[2/11/18 01:04PM]	Player bought 544 x 1 from shop	
[2/11/18 01:04PM]	Player bought 11118 x 1 from shop	
[2/11/18 01:04PM]	Player bought 10499 x 1 from shop	
[2/11/18 01:05PM]	Player bought 861 x 1 from shop	
[2/11/18 01:05PM]	Player bought 892 x 300 from shop	
[2/11/18 01:05PM]	Player bought 2497 x 1 from shop	
[2/11/18 01:24PM]	Player bought 3105 x 1 from shop	
[2/11/18 01:25PM]	666 used command ::Home | Player rights = PLAYER	
[2/11/18 01:27PM]	666 used command ::gamble | Player rights = PLAYER	
[2/11/18 01:31PM]	Player bought 10828 x 1 from shop	
[2/11/18 01:31PM]	Player bought 6328 x 1 from shop	
[2/11/18 01:31PM]	Player bought 11230 x 1000 from shop	
[2/11/18 01:31PM]	Player bought 11230 x 1000 from shop	
[2/11/18 01:35PM]	Player bought 7462 x 10 from shop	
[2/11/18 01:35PM]	Player dropping item: 11118, amount: 1	
[2/11/18 01:36PM]	Receiving item from trade. Id: 18831, amount: 8 from: Wiglets	
[2/11/18 01:40PM]	Player bought 4587 x 1 from shop	
[2/11/18 01:43PM]	Receiving item from trade. Id: 18831, amount: 20 from: Lootz	
[2/11/18 01:45PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 1000000	
[2/11/18 01:45PM]	Player picking up item: [ItemDefinition(990)] - Name: Crystal key; equipment slot: 3; value: 43000; stackable ? true; noted ? true; 2h ? false amount: 1	
[2/11/18 01:48PM]	Player dropping item: 229, amount: 1	
[2/11/18 01:51PM]	Gave item in trade to Wiglets. Id: 12927, amount: 1	
[2/11/18 01:51PM]	Receiving item from trade. Id: 20998, amount: 1 from: Wiglets	
[2/11/18 01:51PM]	Receiving item from trade. Id: 11212, amount: 9821 from: Wiglets	
[2/11/18 01:53PM]	Player bought 3025 x 1000 from shop	
[2/11/18 01:53PM]	Player bought 2445 x 1000 from shop	
[2/11/18 01:53PM]	Player bought 2437 x 1000 from shop	
[2/11/18 01:53PM]	Player bought 2441 x 1000 from shop	
[2/11/18 01:54PM]	Player dropping item: 577, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1011, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 544, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1478, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1095, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 4391, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 841, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1067, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1191, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1323, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1153, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1115, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 1169, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 579, amount: 1	
[2/11/18 01:54PM]	Player dropping item: 882, amount: 485	
[2/11/18 01:54PM]	Player dropping item: 1129, amount: 1	
[2/11/18 01:54PM]	Player bought 2503 x 1 from shop	
[2/11/18 01:54PM]	Player bought 2497 x 1 from shop	
[2/11/18 01:55PM]	Player dropping item: 391, amount: 1	
[2/11/18 01:55PM]	Player bought 13961 x 1 from shop	
[2/11/18 01:55PM]	Player bought 1127 x 1 from shop	
[2/11/18 01:55PM]	Player bought 1079 x 1 from shop	
[2/11/18 01:55PM]	Player bought 3749 x 1 from shop	
[2/11/18 01:56PM]	Player bought 1163 x 1 from shop	
[2/11/18 01:56PM]	Player dropping item: 3749, amount: 1	
[2/11/18 01:56PM]	Player bought 1163 x 1 from shop	
[2/11/18 01:57PM]	Player picking up item: [ItemDefinition(1127)] - Name: Rune platebody; equipment slot: 4; value: 64000; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 01:57PM]	Player picking up item: [ItemDefinition(1079)] - Name: Rune platelegs; equipment slot: 7; value: 44000; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 01:57PM]	Player picking up item: [ItemDefinition(1163)] - Name: Rune full helm; equipment slot: 0; value: 40000; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 01:57PM]	Player picking up item: [ItemDefinition(8851)] - Name: Warrior guild token; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 40	
