[2/11/18 12:30PM]	Login from host 174.192.34.58	
[2/11/18 12:40PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 234	
[2/11/18 12:40PM]	Player dropping item: 995, amount: 234	
[2/11/18 12:45PM]	Grillem used command ::[FRI]Lootz | Player rights = BRONZE_MEMBER	
[2/11/18 12:46PM]	Player picking up item: [ItemDefinition(2686)] - Name: Clue scroll (easy); equipment slot: 3; value: 0; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 12:53PM]	Player bought 1079 x 1 from shop	
[2/11/18 12:53PM]	Player bought 1127 x 1 from shop	
[2/11/18 12:53PM]	Player bought 10828 x 1 from shop	
[2/11/18 12:54PM]	Player bought 6328 x 1 from shop	
[2/11/18 12:54PM]	Player bought 2497 x 1 from shop	
[2/11/18 12:54PM]	Player bought 2503 x 1 from shop	
[2/11/18 12:54PM]	Player bought 2491 x 1 from shop	
[2/11/18 12:54PM]	Player bought 1704 x 1 from shop	
[2/11/18 12:54PM]	Player bought 6568 x 1 from shop	
[2/11/18 12:54PM]	Player bought 3105 x 1 from shop	
[2/11/18 12:54PM]	Player bought 2550 x 1 from shop	
[2/11/18 12:54PM]	Player bought 861 x 1 from shop	
[2/11/18 12:55PM]	Player bought 892 x 500 from shop	
[2/11/18 12:55PM]	Player bought 1215 x 1 from shop	
[2/11/18 12:55PM]	Player bought 4587 x 1 from shop	
[2/11/18 12:57PM]	Player bought 1201 x 1 from shop	
[2/11/18 01:02PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 50000	
[2/11/18 01:02PM]	Player picking up item: [ItemDefinition(985)] - Name: Tooth half of a key; equipment slot: 3; value: 26200; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 01:04PM]	Grillem used command ::answer runecrafting | Player rights = BRONZE_MEMBER	
[2/11/18 01:06PM]	Player picking up item: [ItemDefinition(2368)] - Name: Shield right half; equipment slot: 5; value: 117405; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 01:08PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 110000	
[2/11/18 01:08PM]	Player picking up item: [ItemDefinition(565)] - Name: Blood rune; equipment slot: 3; value: 1688; stackable ? true; noted ? false; 2h ? false amount: 100	
[2/11/18 01:12PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 50000	
[2/11/18 01:12PM]	Player picking up item: [ItemDefinition(385)] - Name: Shark; equipment slot: 3; value: 5000; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 01:16PM]	Player picking up item: [ItemDefinition(1516)] - Name: Yew logs; equipment slot: 3; value: 0; stackable ? true; noted ? true; 2h ? false amount: 50	
[2/11/18 01:16PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 50000	
[2/11/18 01:20PM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 170000	
[2/11/18 01:20PM]	Player picking up item: [ItemDefinition(1357)] - Name: Adamant hatchet; equipment slot: 3; value: 763; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 01:20PM]	Player picking up item: [ItemDefinition(7418)] - Name: Mole skin; equipment slot: 3; value: 9025; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 01:22PM]	Grillem used command ::answer 2157m | Player rights = BRONZE_MEMBER	
[2/11/18 01:23PM]	Player picking up item: [ItemDefinition(1516)] - Name: Yew logs; equipment slot: 3; value: 0; stackable ? true; noted ? true; 2h ? false amount: 50	
