[3/7/18 02:59PM]	Login from host 73.121.186.254	
[3/7/18 03:02PM]	Player bought 3749 x 1 from shop	
[3/7/18 03:02PM]	Player bought 861 x 1 from shop	
[3/7/18 03:02PM]	Player bought 2503 x 1 from shop	
[3/7/18 03:03PM]	Player bought 2497 x 1 from shop	
[3/7/18 03:03PM]	Player bought 2491 x 1 from shop	
[3/7/18 03:03PM]	Player bought 10499 x 1 from shop	
[3/7/18 03:03PM]	Player bought 6328 x 1 from shop	
[3/7/18 03:03PM]	Player bought 892 x 500 from shop	
[3/7/18 03:04PM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/7/18 03:10PM]	Player dropping item: 11260, amount: 1	
[3/7/18 03:10PM]	Player dropping item: 1755, amount: 1	
[3/7/18 03:10PM]	Player dropping item: 1275, amount: 1	
[3/7/18 03:11PM]	Player dropping item: 1359, amount: 1	
[3/7/18 03:11PM]	Player dropping item: 1359, amount: 1	
[3/7/18 03:12PM]	Player dropping item: 309, amount: 1	
[3/7/18 03:12PM]	Player dropping item: 11260, amount: 1	
[3/7/18 03:16PM]	Loki used command ::sethome | Player rights = PLAYER	
[3/7/18 03:21PM]	Player bought 1351 x 1 from shop	
[3/7/18 03:23PM]	Player dropping item: 1351, amount: 1	
[3/7/18 03:25PM]	Player picking up item: [ItemDefinition(5073)] - Name: Bird's nest; equipment slot: 3; value: 497; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/7/18 03:25PM]	Player dropping item: 5313, amount: 1	
[3/7/18 03:26PM]	Player picking up item: [ItemDefinition(5313)] - Name: Willow seed; equipment slot: 3; value: 541; stackable ? true; noted ? false; 2h ? false amount: 1	
[3/7/18 03:27PM]	Player picking up item: [ItemDefinition(5074)] - Name: Bird's nest; equipment slot: 3; value: 0; stackable ? false; noted ? false; 2h ? false amount: 1	
[3/7/18 03:31PM]	Loki used command ::answer bank | Player rights = PLAYER	
[3/7/18 03:31PM]	Player dropping item: 1515, amount: 1	
[3/7/18 03:37PM]	Player dropping item: 1359, amount: 1	
[3/7/18 03:37PM]	Player picking up item: [ItemDefinition(2996)] - Name: Agility ticket; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 5	
[3/7/18 03:37PM]	Player dropping item: 1275, amount: 1	
