[2/10/18 10:05AM]	Login from host 88.91.253.131	
[2/10/18 10:24AM]	Sam used command ::answer help | Player rights = BRONZE_MEMBER	
[2/10/18 10:40AM]	Receiving item from trade. Id: 773, amount: 1 from: Lootz	
[2/11/18 04:01AM]	Login from host 88.91.253.131	
[2/11/18 04:02AM]	Sam used command ::home | Player rights = BRONZE_MEMBER	
[2/11/18 04:08AM]	Login from host 88.91.253.131	
[2/11/18 04:11AM]	Login from host 88.91.253.131	
[2/11/18 04:15AM]	Login from host 88.91.253.131	
[2/11/18 04:16AM]	Player bought 12708 x 1 from shop	
[2/11/18 04:16AM]	Player bought 13239 x 1 from shop	
[2/11/18 04:16AM]	Player bought 17291 x 1 from shop	
[2/11/18 04:17AM]	Player bought 20998 x 1 from shop	
[2/11/18 04:17AM]	Player bought 20061 x 1 from shop	
[2/11/18 04:17AM]	Player bought 11554 x 1 from shop	
[2/11/18 04:17AM]	Sam used command ::yell k | Player rights = DIAMOND_MEMBER	
[2/11/18 04:19AM]	Player bought 14013 x 1 from shop	
[2/11/18 04:19AM]	Player bought 14012 x 1 from shop	
[2/11/18 04:19AM]	Player bought 14011 x 1 from shop	
[2/11/18 04:19AM]	Player bought 14010 x 1 from shop	
[2/11/18 04:19AM]	Player bought 14009 x 1 from shop	
[2/11/18 04:19AM]	Player bought 14008 x 1 from shop	
[2/11/18 04:19AM]	Player bought 20020 x 1 from shop	
[2/11/18 04:19AM]	Player bought 12601 x 1 from shop	
[2/11/18 04:20AM]	Player bought 10499 x 1 from shop	
[2/11/18 04:20AM]	Player bought 892 x 1000 from shop	
[2/11/18 04:31AM]	Player picking up item: [ItemDefinition(890)] - Name: Adamant arrow; equipment slot: 13; value: 119; stackable ? true; noted ? false; 2h ? false amount: 2500	
[2/11/18 04:31AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 2500000	
[2/11/18 04:31AM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 13	
[2/11/18 04:34AM]	Sam used command ::bank | Player rights = DIAMOND_MEMBER	
[2/11/18 04:37AM]	Player picking up item: [ItemDefinition(454)] - Name: Coal; equipment slot: 3; value: 0; stackable ? true; noted ? true; 2h ? false amount: 75	
[2/11/18 04:37AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 100000	
[2/11/18 04:37AM]	Player picking up item: [ItemDefinition(1347)] - Name: Rune warhammer; equipment slot: 3; value: 15900; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 04:39AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 50000	
[2/11/18 04:39AM]	Player picking up item: [ItemDefinition(1621)] - Name: Uncut emerald; equipment slot: 3; value: 700; stackable ? false; noted ? false; 2h ? false amount: 1	
[2/11/18 04:40AM]	Player picking up item: [ItemDefinition(208)] - Name: Grimy ranarr; equipment slot: 3; value: 45322; stackable ? true; noted ? true; 2h ? false amount: 10	
[2/11/18 04:40AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 230000	
[2/11/18 04:41AM]	Player picking up item: [ItemDefinition(1516)] - Name: Yew logs; equipment slot: 3; value: 0; stackable ? true; noted ? true; 2h ? false amount: 50	
[2/11/18 04:41AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 50000	
[2/11/18 04:41AM]	Player picking up item: [ItemDefinition(556)] - Name: Air rune; equipment slot: 3; value: 90; stackable ? true; noted ? false; 2h ? false amount: 1368	
[2/11/18 04:42AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 50000	
[2/11/18 04:43AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 230000	
[2/11/18 04:45AM]	Player picking up item: [ItemDefinition(995)] - Name: Coins; equipment slot: 3; value: 1; stackable ? true; noted ? false; 2h ? false amount: 110000	
[2/11/18 04:46AM]	Player picking up item: [ItemDefinition(3052)] - Name: Grimy snapdragon; equipment slot: 3; value: 194800; stackable ? true; noted ? true; 2h ? false amount: 12	
[2/11/18 04:47AM]	Player picking up item: [ItemDefinition(12159)] - Name: Green charm; equipment slot: 3; value: 0; stackable ? true; noted ? false; 2h ? false amount: 4	
